DATE,EXERCISE,SET,NB_REPS,WEIGHT,PERF
2023-07-02,Seated dumbbell shoulder press,2.0,5.666666666666667,17.333333333333332,98.66666666666667
2023-07-05,Cable rope hammer curl,2.0,8.0,36.0,288.0
2023-07-05,Incline dumbbell biceps curl,2.0,7.333333333333333,8.666666666666666,62.666666666666664
2023-07-05,Lat pull-down,2.0,10.0,59.0,590.0
2023-07-05,Pull-up,2.0,8.666666666666666,2.6666666666666665,18.666666666666668
2023-07-05,Seated Cable Rows,2.0,8.333333333333334,59.0,491.6666666666667
2023-07-05,Standing crossed-cable rear delt fly,2.0,10.666666666666666,14.0,149.33333333333334
2023-07-05,Straight-arm cable pull-over,2.0,9.333333333333334,28.0,261.3333333333333
2023-07-07,Behind-the-head skullcrusher,2.0,10.0,20.0,200.0
2023-07-07,Dumbbell lateral raise,2.0,9.0,12.0,108.0
2023-07-07,Low-cable cross-over,2.0,11.0,14.0,154.0
2023-07-07,Seated dumbbell shoulder press,2.0,8.333333333333334,20.0,166.66666666666666
2023-07-07,Single-arm cable triceps extension,2.0,6.666666666666667,14.0,93.33333333333333
2023-07-07,Smith Machine Incline Bench Press,2.0,7.0,53.333333333333336,368.3333333333333
2023-07-07,Smith machine bench press,2.0,6.666666666666667,63.333333333333336,418.3333333333333
2023-07-08,Cable rope hammer curl,2.0,11.333333333333334,37.333333333333336,422.0
2023-07-08,Incline dumbbell biceps curl,2.0,8.666666666666666,10.333333333333334,86.33333333333333
2023-07-08,Lat pull-down,2.0,10.333333333333334,45.0,465.0
2023-07-08,Pull-up,2.0,8.666666666666666,2.6666666666666665,18.666666666666668
2023-07-08,Seated Cable Rows,2.0,9.666666666666666,59.666666666666664,576.3333333333334
2023-07-08,Standing crossed-cable rear delt fly,2.0,9.666666666666666,14.0,135.33333333333334
2023-07-08,Straight-arm cable pull-over,2.0,10.333333333333334,34.666666666666664,356.0
2023-07-09,Barbell Squat,2.0,8.333333333333334,88.33333333333333,731.6666666666666
2023-07-09,Leg Press,2.0,10.0,100.0,1000.0
2023-07-09,Smith machine standing calf raise,2.0,13.666666666666666,76.66666666666667,1026.6666666666667
2023-07-11,Behind-the-head skullcrusher,2.0,9.333333333333334,21.333333333333332,197.33333333333334
2023-07-11,Dumbbell lateral raise,2.0,9.666666666666666,12.0,116.0
2023-07-11,Low-cable cross-over,2.0,11.0,11.0,121.0
2023-07-11,Seated dumbbell shoulder press,2.0,8.0,19.333333333333332,153.33333333333334
2023-07-11,Smith Machine Incline Bench Press,2.0,7.333333333333333,55.0,403.3333333333333
2023-07-11,Smith machine bench press,2.0,7.333333333333333,65.0,476.6666666666667
2023-07-11,Triceps Pushdown,2.0,8.333333333333334,14.0,116.66666666666667
2023-07-12,Cable rope hammer curl,2.0,11.666666666666666,36.0,420.0
2023-07-12,Incline dumbbell biceps curl,2.0,7.666666666666667,8.666666666666666,66.0
2023-07-12,Lat pull-down,2.0,11.333333333333334,59.0,668.6666666666666
2023-07-12,Pull-up,2.0,9.333333333333334,2.6666666666666665,22.666666666666668
2023-07-12,Seated Cable Rows,2.0,10.333333333333334,59.0,609.6666666666666
2023-07-12,Standing crossed-cable rear delt fly,2.0,8.666666666666666,14.0,121.33333333333333
2023-07-12,Straight-arm cable pull-over,2.0,10.666666666666666,33.333333333333336,346.6666666666667
2023-07-15,Dumbbell lateral raise,2.0,9.666666666666666,12.0,116.0
2023-07-15,Low-cable cross-over,2.0,10.0,14.0,140.0
2023-07-15,Seated dumbbell shoulder press,2.0,8.0,20.0,160.0
2023-07-15,Smith Machine Incline Bench Press,2.0,8.333333333333334,50.0,416.6666666666667
2023-07-15,Smith machine bench press,2.0,8.0,63.333333333333336,500.0
2023-07-15,Triceps Pushdown,2.0,9.333333333333334,27.0,252.0
2023-07-16,Cable rope hammer curl,2.0,11.0,38.0,418.0
2023-07-16,Lat pull-down,2.0,10.0,45.0,450.0
2023-07-16,Preacher Curl,2.0,11.666666666666666,25.0,291.6666666666667
2023-07-16,Pull-up,2.0,6.666666666666667,8.333333333333334,55.0
2023-07-16,Seated Cable Rows,2.0,11.333333333333334,60.333333333333336,683.3333333333334
2023-07-16,Standing crossed-cable rear delt fly,2.0,9.666666666666666,15.333333333333334,146.0
2023-07-16,Straight-arm cable pull-over,2.0,13.333333333333334,40.666666666666664,535.0
2023-07-19,Behind-the-head skullcrusher,2.0,9.333333333333334,25.0,233.33333333333334
2023-07-19,Dumbbell lateral raise,2.0,11.0,12.0,132.0
2023-07-19,Low-cable cross-over,2.0,11.0,14.0,154.0
2023-07-19,Seated dumbbell shoulder press,2.0,8.333333333333334,20.0,166.66666666666666
2023-07-19,Smith Machine Incline Bench Press,2.0,7.666666666666667,55.0,421.6666666666667
2023-07-19,Smith machine bench press,2.0,7.333333333333333,65.0,476.6666666666667
2023-07-19,Triceps Pushdown,2.0,9.333333333333334,15.333333333333334,140.0
2023-07-22,Bent Over Barbell Row,2.0,11.333333333333334,60.0,680.0
2023-07-22,Bent-over dumbbell rear delt fly,2.0,9.333333333333334,8.0,74.66666666666667
2023-07-22,Dumbbell Bicep Curl,2.0,5.0,12.666666666666666,63.333333333333336
2023-07-22,Hammer Curls,2.0,10.333333333333334,12.0,124.0
2023-07-22,Incline dumbbell biceps curl,2.0,10.666666666666666,8.0,85.33333333333333
2023-07-22,Pull-up,2.0,9.0,5.0,45.0
2023-07-24,Behind-the-head skullcrusher,2.0,8.0,22.666666666666668,180.0
2023-07-24,Bench press,2.0,8.0,60.0,480.0
2023-07-24,Close-grip bench press,2.0,10.0,44.0,440.0
2023-07-24,Dumbbell lateral raise,2.0,9.0,12.0,108.0
2023-07-24,Incline bench press,2.0,8.666666666666666,50.0,433.3333333333333
2023-07-27,Dumbbell Bulgarian split squat,2.0,8.0,15.333333333333334,120.0
2023-07-27,Romanian Deadlift With Dumbbells,2.0,12.666666666666666,22.0,278.6666666666667
2023-07-27,Smith machine standing calf raise,2.0,16.0,44.0,704.0
2023-07-30,Dumbbell Bench Press,2.0,9.666666666666666,22.0,212.66666666666666
2023-07-30,Dumbbell lateral raise,2.0,8.666666666666666,12.0,104.0
2023-07-30,Dumbbell skullcrusher,2.0,8.0,10.0,80.0
2023-07-30,Seated dumbbell shoulder press,2.0,11.333333333333334,18.0,204.0
2023-08-05,Dumbbell Bicep Curl,2.0,6.666666666666667,10.666666666666666,71.33333333333333
2023-08-05,Dumbbell bent-over row,2.0,15.333333333333334,22.0,337.3333333333333
2023-08-05,Hammer Curls,2.0,10.0,12.0,120.0
2023-08-05,Standing dumbbell shrug,2.0,15.0,22.0,330.0
2023-08-06,Barbell Squat,2.0,7.333333333333333,75.33333333333333,542.6666666666666
2023-08-06,Romanian Deadlift With Dumbbells,2.0,10.666666666666666,48.0,512.0
2023-08-06,Smith machine standing calf raise,2.0,17.0,63.333333333333336,1070.0
2023-08-08,Behind-the-head skullcrusher,2.0,8.0,25.0,200.0
2023-08-08,Dumbbell lateral raise,2.0,8.0,12.0,96.0
2023-08-08,Low-cable cross-over,2.0,10.666666666666666,14.0,149.33333333333334
2023-08-08,Seated dumbbell shoulder press,2.0,7.0,20.0,140.0
2023-08-08,Smith Machine Incline Bench Press,2.0,8.333333333333334,51.666666666666664,425.0
2023-08-08,Smith machine bench press,2.0,6.333333333333333,65.0,411.6666666666667
2023-08-08,Triceps Pushdown,2.0,7.0,25.666666666666668,179.66666666666666
2023-08-18,Bent Over Barbell Row,2.0,8.333333333333334,64.0,533.3333333333334
2023-08-18,Hammer Curls,2.0,8.666666666666666,12.0,104.0
2023-08-18,Incline dumbbell biceps curl,2.0,10.0,8.0,80.0
2023-08-18,Pull-up,2.0,10.0,5.0,50.0
2023-08-22,Dumbbell Bench Press,2.0,12.333333333333334,22.0,271.3333333333333
2023-08-22,Dumbbell lateral raise,2.0,9.0,12.0,108.0
2023-08-22,Dumbbell skullcrusher,2.0,7.0,10.0,70.0
2023-08-22,Seated dumbbell shoulder press,2.0,10.0,20.0,200.0
2023-08-23,Dumbbell Bicep Curl,2.0,9.0,12.0,108.0
2023-08-23,Dumbbell bent-over row,2.0,14.666666666666666,22.0,322.6666666666667
2023-08-23,Hammer Curls,2.0,8.0,12.0,96.0
2023-08-23,Standing dumbbell shrug,2.0,17.333333333333332,22.0,381.3333333333333
2023-09-05,Behind-the-head skullcrusher,2.0,8.333333333333334,25.0,208.33333333333334
2023-09-05,Dumbbell lateral raise,2.0,9.0,12.0,108.0
2023-09-05,Low-cable cross-over,2.0,9.333333333333334,14.0,130.66666666666666
2023-09-05,Seated dumbbell shoulder press,2.0,7.0,20.0,140.0
2023-09-05,Smith Machine Incline Bench Press,2.0,7.666666666666667,55.0,421.6666666666667
2023-09-05,Smith machine bench press,2.0,7.666666666666667,65.0,498.3333333333333
2023-09-05,Triceps Pushdown,2.0,8.0,14.0,112.0
2023-09-13,Behind-the-head skullcrusher,2.0,10.333333333333334,22.0,227.33333333333334
2023-09-13,Bench press,2.0,7.0,60.0,420.0
2023-09-13,Close-grip bench press,2.0,9.666666666666666,44.0,425.3333333333333
